,model,metric,precision,recall,f1-score,support,accuracy,data_approach
45,rf,0,0.5555555555555556,0.5,0.5263157894736842,10.0,0.7631578947368421,macro
46,rf,1,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0,0.7631578947368421,macro
47,rf,accuracy,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421,macro
48,rf,macro avg,0.6915708812260537,0.6785714285714286,0.6842105263157894,38.0,0.7631578947368421,macro
49,rf,weighted avg,0.7559991933857632,0.7631578947368421,0.7590027700831025,38.0,0.7631578947368421,macro
50,svm,0,0.0,0.0,0.0,10.0,0.7368421052631579,macro
51,svm,1,0.7368421052631579,1.0,0.8484848484848484,28.0,0.7368421052631579,macro
52,svm,accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,macro
53,svm,macro avg,0.3684210526315789,0.5,0.4242424242424242,38.0,0.7368421052631579,macro
54,svm,weighted avg,0.5429362880886427,0.7368421052631579,0.6251993620414672,38.0,0.7368421052631579,macro
55,xgb,0,0.45454545454545453,0.5,0.47619047619047616,10.0,0.7105263157894737,macro
56,xgb,1,0.8148148148148148,0.7857142857142857,0.7999999999999999,28.0,0.7105263157894737,macro
57,xgb,accuracy,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.7105263157894737,macro
58,xgb,macro avg,0.6346801346801346,0.6428571428571428,0.638095238095238,38.0,0.7105263157894737,macro
59,xgb,weighted avg,0.720007088428141,0.7105263157894737,0.7147869674185463,38.0,0.7105263157894737,macro
