,model,metric,precision,recall,f1-score,support,accuracy,data_approach
32,svm,accuracy,0.7658227848101266,0.7658227848101266,0.7658227848101266,0.7658227848101266,0.7658227848101266,fg_min
33,svm,macro avg,0.3829113924050633,0.5,0.4336917562724014,158.0,0.7658227848101266,fg_min
34,svm,weighted avg,0.5864845377343374,0.7658227848101266,0.6642620570754503,158.0,0.7658227848101266,fg_min
35,xgb,0,0.7272727272727273,0.43243243243243246,0.5423728813559323,37.0,0.8291139240506329,fg_min
36,xgb,1,0.8455882352941176,0.9504132231404959,0.8949416342412452,121.0,0.8291139240506329,fg_min
37,xgb,accuracy,0.8291139240506329,0.8291139240506329,0.8291139240506329,0.8291139240506329,0.8291139240506329,fg_min
38,xgb,macro avg,0.7864304812834224,0.6914228277864642,0.7186572577985888,158.0,0.8291139240506329,fg_min
39,xgb,weighted avg,0.8178814391118933,0.8291139240506329,0.812378065527596,158.0,0.8291139240506329,fg_min
40,nb,0,0.3333333333333333,0.8378378378378378,0.4769230769230769,37.0,0.569620253164557,macro
41,nb,1,0.9076923076923077,0.48760330578512395,0.6344086021505376,121.0,0.569620253164557,macro
42,nb,accuracy,0.569620253164557,0.569620253164557,0.569620253164557,0.569620253164557,0.569620253164557,macro
43,nb,macro avg,0.6205128205128205,0.6627205718114809,0.5556658395368073,158.0,0.569620253164557,macro
44,nb,weighted avg,0.7731905225576111,0.569620253164557,0.5975290804200563,158.0,0.569620253164557,macro
45,rf,0,0.43333333333333335,0.35135135135135137,0.3880597014925374,37.0,0.740506329113924,macro
46,rf,1,0.8125,0.859504132231405,0.8353413654618473,121.0,0.740506329113924,macro
47,rf,accuracy,0.740506329113924,0.740506329113924,0.740506329113924,0.740506329113924,0.740506329113924,macro
48,rf,macro avg,0.6229166666666667,0.6054277417913781,0.6117005334771923,158.0,0.740506329113924,macro
49,rf,weighted avg,0.723707805907173,0.740506329113924,0.7305981909880216,158.0,0.740506329113924,macro
50,svm,0,0.3333333333333333,0.02702702702702703,0.05,37.0,0.759493670886076,macro
51,svm,1,0.7677419354838709,0.9834710743801653,0.8623188405797102,121.0,0.759493670886076,macro
52,svm,accuracy,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076,macro
53,svm,macro avg,0.5505376344086022,0.5052490507035962,0.4561594202898551,158.0,0.759493670886076,macro
54,svm,weighted avg,0.6660133387777324,0.759493670886076,0.6720922766464869,158.0,0.759493670886076,macro
55,xgb,0,0.3870967741935484,0.32432432432432434,0.3529411764705882,37.0,0.7215189873417721,macro
56,xgb,1,0.8031496062992126,0.8429752066115702,0.8225806451612903,121.0,0.7215189873417721,macro
57,xgb,accuracy,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,macro
58,xgb,macro avg,0.5951231902463805,0.5836497654679473,0.5877609108159392,158.0,0.7215189873417721,macro
59,xgb,weighted avg,0.7057195127048482,0.7215189873417721,0.71260178224005,158.0,0.7215189873417721,macro
